material,local,form,code,shape,units,parameters,density,density_unit,embodied_carbon,embodied_water,density_ref,embodied_carbon_ref,embodied_water_ref,,***THIS COLUMN SAVED FOR LATER - NO REFERENCE TO ECOINVENT AT THIS TIME***
Steel,0,"Structural section, Equal angle section",STE-EAS_,COMPLEX-SECTION,KG; M; PCE,"{""25x25mm"":1.45, ""40x40mm"":2.97, ""50x50mm"":4.47, ""70x70mm"":8.36, ""100x100mm"":15, ""120x120mm"":18.2}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/16"
Steel,0,"Structural section, other",STE-SEO_,COMPLEX-SECTION,KG,,7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/17"
Steel,0,Other,STE-OTH_,UNDEFINED,KG,,7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/17"
"Steel/brass fixture, fixing ",0,Hinge,STEFX-H_,FIXTURE,KG; PCE,,0.2,kg/pce,3.700,77.600,n.a,"EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/18"
"Steel/brass fixture, fixing ",0,Lock,STEFX-L_,FIXTURE,KG; PCE,,0.3,kg/pce,3.700,77.600,n.a,"EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/19"
"Steel/brass fixture, fixing ",0,Bolts,STEFX-N_,FIXTURE,KG; PCE,,0.3,kg/pce,3.700,77.600,n.a,"EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/20"
"Steel/brass fixture, fixing ",0,Other,STEFX-OTH_,UNDEFINED,KG,,0.3,kg/pce,3.700,77.600,n.a,"EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Cold rolled steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/20"
Stone,1,Block,STO-BLK_,RECTANGULAR,KG; M3; PCE,,2880,kg/m3,0.079,1.9,"ICE v.2.0 (2011)","EPIC (2019), Gravel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Dimension stone, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Stone,1,"Gravel, aggregate",STO-AGG_,UNDEFINED,KG; M3,,2240,kg/m3,0.007,1.900,ICE v.3.0 (2019),"EPIC (2019), Gravel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Gravel, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Stone,1,Other,STO-OTH_,UNDEFINED,KG,,2240,kg/m3,0.079,1.900,ICE v.2.0 (2011),"EPIC (2019), Gravel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Gravel, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Timber,0,"Hardwood, rectangular section",TIM-HDR_,RECTANGULAR,KG; M; PCE,,720,kg/m3,0.82,26.540,"ICE v.3.0 (2019), Hardwood","EPIC (2019), Hardwood, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hardwood, <https://doi.org/10.26188/5dc228ef98c5a>",,""
Timber,0,"Hardwood, circular section",TIM-HDC_,CYLINDRICAL,KG; M; PCE,,720,kg/m3,0.82,26.540,"ICE v.3.0 (2019), Hardwood","EPIC (2019), Hardwood (derived)","EPIC (2019), Hardwood (derived)",,""
Timber,0,"Plywood, chipboard, fibreboard",TIM-PLY_,RECTANGULAR,KG; M2; PCE,,540,kg/m3,0.680,36.93,ICE v.3.0 (2019),"EPIC (2019), Plywood (derived), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Plywood (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,""
Timber,0,"Softwood, rectangular section",TIM-SFR_,RECTANGULAR,KG; M; PCE,,510,kg/m3,0.260,25.660,"ICE v.3.0 (2019), Softwood","EPIC (2019), Softwood, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Softwood, <https://doi.org/10.26188/5dc228ef98c5a>",,""
Timber,0,"Softwood, circular section",TIM-SFC_,CYLINDRICAL,KG; M; PCE,,510,kg/m3,0.260,25.660,"ICE v.3.0 (2019), Softwood","EPIC (2019), Softwood, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Softwood, <https://doi.org/10.26188/5dc228ef98c5a>",,""
Timber,0,Other,TIM-OTH_,UNDEFINED,KG,,510,kg/m3,0.26,25.660,"ICE v.3.0 (2019), Softwood","EPIC (2019), Softwood, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Softwood, <https://doi.org/10.26188/5dc228ef98c5a>",,""
Other,0,Other,OTH_,OTHER,KG;PCE;L;M;M2;M3,,0,kg/m3,0.000,0.000,n.a.,n.a.,n.a.,,n.a.
